,GSM8391918_H23-Ctrl.CEL.gz,GSM8391919_H23-KRAS-C12.CEL.gz,GSM8391920_H358-Ctrl.CEL.gz,GSM8391921_H358-KRAS-C12.CEL.gz,GSM8391922_H1792-Ctrl.CEL.gz,GSM8391923_H1792-KRAS-C12.CEL.gz,GSM8391924_H441-Ctrl.CEL.gz,GSM8391925_H441-KRAS-V12.CEL.gz,GSM8391926_H1299-Ctrl.CEL.gz,GSM8391927_H1299-KRAS-C12.CEL.gz,GSM8391928_H1299-KRAS-V12.CEL.gz,GSM8398301_HBEC3.CEL.gz,GSM8398302_HBEC3-K.CEL.gz,GSM8398303_HBEC3-p53.CEL.gz,GSM8398304_HBEC3-p53K.CEL.gz
X202412_s_at,7.526991935,7.724230514,8.621172632,7.645390748,7.576228613,8.103810925,7.922138225,8.187947297,5.67973707,5.484933376,5.307673842,5.554176273,5.281918706,5.946875567,5.149962668
X202413_s_at,12.04538941,12.1831215,12.15227748,11.75139286,11.46293785,11.79042908,12.0316392,12.02567014,12.11911087,12.08012854,12.18058078,11.75641554,10.48667246,11.89019719,11.0170371
X202414_at,8.389597623,8.201546568,8.782657896,8.852022149,8.807718863,8.707883732,9.352212437,9.234968005,9.272724512,9.407363669,9.894896325,10.19085437,10.32396827,10.15853182,9.908989452
X202415_s_at,8.830797594,8.641795417,9.276853801,9.090998595,8.87998493,8.774831275,8.275680069,8.245394815,7.972286741,8.014037128,7.916083696,8.426254308,8.081530893,8.583568296,8.010007586
X202416_at,10.23650469,9.405284292,9.713083472,9.672851374,9.383810702,8.577129538,10.03240296,9.582214884,8.31363627,8.59865973,8.167695162,9.96572023,10.17012509,10.33645796,9.621933171
X202417_at,9.279672861,9.222185418,9.026038064,8.992446277,9.645610085,9.728414186,8.943938335,9.733726866,9.843145259,9.991316162,9.726831455,9.064690823,7.878033105,9.260676576,8.327051358
X202418_at,10.30006327,10.14832028,9.920372883,10.13678711,10.66306708,10.60066602,10.78927016,11.00399855,9.882833478,9.939985763,9.824667877,10.08836311,10.90069307,10.40486614,10.08535308
X202419_at,11.71931657,11.24952005,10.60344992,10.52249499,11.6222361,11.23051063,11.03762072,10.94730678,11.12849926,11.22893306,11.05636224,11.80878058,12.23990403,11.2620088,11.75914339
X202420_s_at,10.48669437,10.51772825,10.98350958,10.72307255,10.43595853,10.46505217,10.37870842,10.37743617,10.67121252,10.55303589,10.26860209,10.42356761,8.940882624,10.47700569,8.554323576
X202421_at,10.13968238,9.99225605,8.408717902,8.546861387,7.255557664,6.932402418,9.457450763,9.669389372,7.907139857,7.189340147,8.093817246,10.53300959,9.093531588,11.10592202,9.241164385
X202422_s_at,10.0530243,9.156194258,9.520840336,9.843594919,10.57706729,10.02284844,11.12442581,10.65746115,9.723310544,9.712600646,9.33926327,9.370123873,9.987412168,9.486268901,9.884106447
X202423_at,10.75636861,10.91517857,10.87250219,10.91755793,10.27682587,10.36775884,11.82257414,11.57484539,9.940616681,9.679896733,8.787858734,10.43399273,10.02752177,10.63423384,10.18544563
X202424_at,11.40166714,11.36833008,9.521096746,9.481967726,10.72136744,10.61821576,9.503363704,10.02449128,10.27123292,10.27076052,9.774590708,9.927364579,10.04756486,10.31882204,10.04957863
X202425_x_at,10.19558603,10.18397097,11.38245735,11.16704808,10.72598285,10.78268084,11.42396553,11.48646782,9.431193475,8.874210518,7.964744147,11.47495242,10.59284162,11.41524039,10.55548925
